Month,Sales,t,tsq,x1t,x2t,x3t,x4t,x5t,x6t,x7t,x8t,x9t,x10t,x11t,d1t,d2t,d3t
1,221,1,1,1,0,0,0,0,0,0,0,0,0,0,,,
2,316,2,4,0,1,0,0,0,0,0,0,0,0,0,,,
3,605,3,9,0,0,1,0,0,0,0,0,0,0,0,95,,
4,1086,4,16,0,0,0,1,0,0,0,0,0,0,0,289,95,
5,1113,5,25,0,0,0,0,1,0,0,0,0,0,0,481,289,95
6,753,6,36,0,0,0,0,0,1,0,0,0,0,0,27,481,289
7,646,7,49,0,0,0,0,0,0,1,0,0,0,0,-360,27,481
8,11,8,64,0,0,0,0,0,0,0,1,0,0,0,-107,-360,27
9,778,9,81,0,0,0,0,0,0,0,0,1,0,0,-635,-107,-360
10,750,10,100,0,0,0,0,0,0,0,0,0,1,0,767,-635,-107
11,824,11,121,0,0,0,0,0,0,0,0,0,0,0,-28,767,-635
12,1464,12,144,0,0,0,0,0,0,0,0,0,0,0,74,-28,767
13,473,13,169,1,0,0,0,0,0,0,0,0,0,0,640,74,-28
14,859,14,196,0,1,0,0,0,0,0,0,0,0,0,-991,640,74
15,1058,15,225,0,0,1,0,0,0,0,0,0,0,0,386,-991,640
16,1404,16,256,0,0,0,1,0,0,0,0,0,0,0,199,386,-991
17,1209,17,289,0,0,0,0,1,0,0,0,0,0,0,346,199,386
18,823,18,324,0,0,0,0,0,1,0,0,0,0,0,-195,346,199
19,574,19,361,0,0,0,0,0,0,1,0,0,0,0,-386,-195,346
20,823,20,400,0,0,0,0,0,0,0,1,0,0,0,-249,-386,-195
21,888,21,441,0,0,0,0,0,0,0,0,1,0,0,249,-249,-386
22,884,22,484,0,0,0,0,0,0,0,0,0,1,0,65,249,-249
23,1049,23,529,0,0,0,0,0,0,0,0,0,0,0,-4,65,249
24,202,24,576,0,0,0,0,0,0,0,0,0,0,0,165,-4,65
25,378,25,625,1,0,0,0,0,0,0,0,0,0,0,-847,165,-4
26,498,26,676,0,1,0,0,0,0,0,0,0,0,0,176,-847,165
27,108,27,729,0,0,1,0,0,0,0,0,0,0,0,120,176,-847
28,1288,28,784,0,0,0,1,0,0,0,0,0,0,0,-390,120,176
29,1337,29,841,0,0,0,0,1,0,0,0,0,0,0,1180,-390,120
30,1443,30,900,0,0,0,0,0,1,0,0,0,0,0,49,1180,-390
31,1059,31,961,0,0,0,0,0,0,1,0,0,0,0,106,49,1180
32,133,32,1024,0,0,0,0,0,0,0,1,0,0,0,-384,106,49
33,1169,33,1089,0,0,0,0,0,0,0,0,1,0,0,-926,-384,106
34,1003,34,1156,0,0,0,0,0,0,0,0,0,1,0,1036,-926,-384
35,1379,35,1225,0,0,0,0,0,0,0,0,0,0,0,-166,1036,-926
36,1756,36,1296,0,0,0,0,0,0,0,0,0,0,0,376,-166,1036
37,649,37,1369,1,0,0,0,0,0,0,0,0,0,0,377,376,-166
38,804,38,1444,0,1,0,0,0,0,0,0,0,0,0,-1107,377,376
39,1343,39,1521,0,0,1,0,0,0,0,0,0,0,0,155,-1107,377
40,1352,40,1600,0,0,0,1,0,0,0,0,0,0,0,539,155,-1107
41,1357,41,1681,0,0,0,0,1,0,0,0,0,0,0,9,539,155
